id,name,category,does,auth,gate,surface,breadth,mcp,verdict,blocker,evidence,confidence,notes
32,Meta Ads,"Marketing, Ads, Email and Social",Facebook/Instagram ads API,OAuth2,Gated,Full REST,~200 endpoints,Yes,Blocked,App review + business verification for advanced access,https://developers.facebook.com/docs/marketing-apis,3,developers.facebook.com returns 400 to bots; docs verified live in browser | Pass2
33,LinkedIn Ads,"Marketing, Ads, Email and Social",LinkedIn advertising API,OAuth2,Gated,Full REST,~80 endpoints,Yes,Blocked,Marketing API access requires approved LinkedIn partner application,https://learn.microsoft.com/en-us/linkedin/marketing/,3,
34,GoHighLevel,"Marketing, Ads, Email and Social",Agency marketing platform (white-label),OAuth2,Self-serve,Full REST,~150 endpoints,Yes,Ready,Agency plan required; marketplace app flow,https://highlevel.stoplight.io/docs/integrations,3,
35,Mailchimp,"Marketing, Ads, Email and Social",Email marketing platform,Basic,Self-serve,Full REST,~130 endpoints,Yes,Ready,API key on free tier,https://mailchimp.com/developer/marketing/api,3,
36,Klaviyo,"Marketing, Ads, Email and Social",Ecommerce marketing automation,API key,Self-serve,Full REST,~200 endpoints,Yes,Ready,,https://developers.klaviyo.com/en/reference/api_overview,3,
37,Systeme.io,"Marketing, Ads, Email and Social",All-in-one funnel builder,API key,Self-serve,Narrow REST,~25 endpoints (contacts,Yes,Ready,"Tiny API surface (contacts, tags, campaigns)",https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api,4,Docs thin; verify endpoint breadth during live pass. | Pass2: official help doc 'How to use the systeme.io public API' confirms API keys generated in account settings | Pass2: keys self-serve; API available across plans | Pass2: replaced guess with official help-center article (200 OK) | Pass2: systeme.io announced MCP feature for contact management; also listed in AI/MCP guides | Pass2: usable toolkit path today; narrow surface |  tags
38,Pinterest,"Marketing, Ads, Email and Social",Visual discovery + Pinterest Ads,OAuth2,Self-serve,Full REST,~100 endpoints,Yes,Ready,Some scopes need app review,https://developers.pinterest.com/docs/api/v5,3,
39,Threads,"Marketing, Ads, Email and Social",Meta Threads publishing API,OAuth2,Gated,Narrow REST,~15 endpoints,Yes,Ready with caveats,App review for production; publishing-only scope,https://developers.facebook.com/docs/threads,3,developers.facebook.com returns 400 to bots; docs verified live in browser | Pass2
40,SendGrid,"Marketing, Ads, Email and Social",Transactional email (Twilio),Bearer token,Self-serve,Full REST,~150 endpoints,Yes,Ready,,https://www.twilio.com/docs/sendgrid/api-reference,3,
41,Shopify,Ecommerce,Ecommerce storefront platform,OAuth2,Self-serve,Full REST,"REST+GraphQL, ~500 endpoints",Yes,Ready,Public-app review for distributed apps,https://shopify.dev/docs/api/admin-graphql,3,shopify.dev JS-rendered for bots; OAuth2 + dev stores verified live in browser | Pass2
42,WooCommerce,Ecommerce,WordPress ecommerce plugin,HMAC,Open,Full REST,~100 endpoints,Yes,Ready,,https://woocommerce.github.io/woocommerce-rest-api-docs,3,Consumer key/secret with HMAC-SHA1 signature over HTTPS.
43,BigCommerce,Ecommerce,SaaS ecommerce platform,OAuth2,Self-serve,Full REST,~200 endpoints,Yes,Ready,,https://developer.bigcommerce.com/docs/rest-management,3,
44,Salesforce Commerce Cloud,Ecommerce,Enterprise commerce platform (SFCC),OAuth2,Gated,Full REST,~150 endpoints,No,Blocked,Requires an SFCC instance; no self-serve sandbox,https://developer.salesforce.com/docs/commerce/b2c-commerce/guide/b2c-commercapi.html,2,developer.salesforce.com returns 403 to bots; docs verified live in browser | Pass2
45,Magento,Ecommerce,Open-source ecommerce (Adobe Commerce),Bearer token,Open,Full REST,~400 endpoints,No,Ready,Needs a running store (self-hosted or Adobe),https://developer.adobe.com/commerce/webapi/rest,3,Open-source; token via admin or integration.
46,Squarespace,Ecommerce,Website builder with commerce,OAuth2,Self-serve,Narrow REST,~40 endpoints,Yes,Ready,Commerce API needs Business+ plan,https://developers.squarespace.com/commerce-apis,2,developers.squarespace.com JS-rendered; OAuth2 + token verified via search snippets | Pass2
47,Ecwid,Ecommerce,Embeddable ecommerce storefronts,OAuth2,Self-serve,Full REST,~80 endpoints,Yes,Ready,,https://api-docs.ecwid.com,3,api-docs.ecwid.com JS-rendered; OAuth2 verified via search snippets | Pass2
48,Gumroad,Ecommerce,Sell digital products,Bearer token,Open,Narrow REST,~20 endpoints,No,Ready with caveats,"Small API surface, sparse docs",https://gumroad.com/api,3,Pass2 CORRECTION: token-style access_token parameter - Pass1 said Basic
49,Amazon SP-API,Ecommerce,Amazon Selling Partner API,OAuth2,Gated,Full REST,~300 endpoints,Yes,Blocked,Developer registration requires professional seller account + vetting,https://developer-docs.amazon.com/sp-api,3,
50,Fanbasis,Ecommerce,High-ticket creator commerce platform,Bearer token,Gated,Narrow REST,~30 endpoints,No,Blocked,API docs live but behind a login wall; access requires partnership,https://dev-docs.fanbasis.com,4,No public API docs found at pass 1; verify during live pass. | Pass2: developer docs exist at dev-docs.fanbasis.com but are password-gated | Pass2: login wall observed
51,DataForSEO,"Data, SEO and Scraping","SEO data API (SERPs, keywords, backlinks)",Basic,Self-serve (paid),Full REST,~200 endpoints,No,Ready,Pay-as-you-go; live creds after signup,https://docs.dataforseo.com,3,
52,SE Ranking,"Data, SEO and Scraping",SEO platform with public API,API key,Self-serve (paid),Narrow REST,~30 endpoints,No,Ready with caveats,API on Pro+ plans,https://seranking.com/api.html,2,seranking.com/api.html JS-rendered; API-key auth verified via search snippets | Pass2
53,Ahrefs,"Data, SEO and Scraping",SEO backlink/keyword data platform,API key,Gated,Narrow REST,~15 endpoints,Yes,Ready with caveats,API v3 needs Enterprise plan or paid API units,https://docs.ahrefs.com/reference/introduction,2,docs.ahrefs.com (Mintlify) 404s to bots; API v3 access model verified via search snippets | Pass2
54,MrScraper,"Data, SEO and Scraping",Web scraping API with parsing,API key,Self-serve,Narrow REST,~15 endpoints,Yes,Ready,Small API; signup historically approval-based,https://docs.mrscraper.com/docs/api/authentication,4,Pass2: docs live; API token via x-api-token header | Pass2: token self-serve from dashboard; small but complete scraping API | Pass2: agent research loop drafted MCP=Yes (docs.mrscraper.com has an 'MCP Server' docs section); human verified the page (200 OK)
55,Apify,"Data, SEO and Scraping",Web scraping/automation actor platform,Bearer token,Self-serve,Full REST,~150 endpoints,Yes,Ready,,https://docs.apify.com/api/v2,3,
56,Firecrawl,"Data, SEO and Scraping",LLM-ready web scraping/crawl API,Bearer token,Self-serve,Narrow REST,~25 endpoints,Yes,Ready,,https://docs.firecrawl.dev/api-reference/introduction,3,Vendor ships its own MCP server.
57,Bright Data,"Data, SEO and Scraping",Proxy + web data platform,Bearer token,Self-serve (paid),Full REST,~100 endpoints,Yes,Ready,,https://docs.brightdata.com/api-reference/overview,3,docs.brightdata.com JS-rendered for bots; verified live in browser | Pass2
58,Sherlock,"Data, SEO and Scraping",Find a username across social networks,None,Open,None documented,CLI only,No,Ready with caveats,"CLI/Python tool, not an API; wrap locally",https://github.com/sherlock-project/sherlock,3,
59,Waterfall,"Data, SEO and Scraping",Waterfall enrichment (contact/company intel),API key,Self-serve (paid),Narrow REST,Unknown,No,Ready,,https://docs.waterfall.io/v1/introduction,4,Pass2: pricing is sales-assisted but developer docs and key flow are public | Pass2 cleanup
60,Clay,"Data, SEO and Scraping",GTM data-enrichment spreadsheet,Bearer token,Self-serve (paid),Narrow REST,~60 endpoints,Yes,Ready,Credits-based; trial available,https://docs.clay.com,2,docs.clay.com bot-blocks deep paths; docs verified live in browser | Pass2
61,GitHub,"Developer, Infra and Data platforms",Code hosting + collaboration,Bearer token,Open,Full REST,~900 endpoints,Yes,Ready,,https://docs.github.com/en/rest,3,
62,Vercel,"Developer, Infra and Data platforms",Frontend cloud / deployments,Bearer token,Self-serve,Full REST,~120 endpoints,Yes,Ready,,https://vercel.com/docs/rest-api,3,
63,Netlify,"Developer, Infra and Data platforms",Web hosting / CI for frontends,Bearer token,Self-serve,Full REST,~150 endpoints,Yes,Ready,,https://docs.netlify.com/api/get-started,3,
64,Cloudflare,"Developer, Infra and Data platforms","Edge network, DNS, Workers",Bearer token,Self-serve,Full REST,~600 endpoints,Yes,Ready,,https://developers.cloudflare.com/api,3,
65,Supabase,"Developer, Infra and Data platforms",Open-source Firebase alternative,API key,Self-serve,Full REST,REST (PostgREST) + Auth + Storage,Yes,Ready,,https://supabase.com/docs/reference/api/introduction,3,
66,Neo4j,"Developer, Infra and Data platforms",Graph database,Bearer token,Open,Full REST,HTTP API + Cypher,Yes,Ready,Self-host or Aura; local instance needed,https://neo4j.com/docs/http-api/current/actions/result-format,3,
67,Snowflake,"Developer, Infra and Data platforms",Cloud data warehouse,JWT,Self-serve (paid),Narrow REST,SQL REST API + SDKs,No,Ready with caveats,SQL-over-REST only; SDKs do the heavy lifting,https://docs.snowflake.com/en/developer-guide/sql-api/intro,3,Pass2 CORRECTION: SQL API authenticates via key-pair JWT signing (OAuth also supported) - Pass1 said OAuth2
68,MongoDB Atlas,"Developer, Infra and Data platforms",Cloud MongoDB service,Bearer token,Self-serve,Full REST,Admin API ~200 endpoints,Yes,Ready,,https://www.mongodb.com/docs/atlas/reference/api/,3,mongodb.com bot-walls the API reference; verified via browser/search | Pass2
69,Datadog,"Developer, Infra and Data platforms",Observability platform,API key,Self-serve,Full REST,~500 endpoints,Yes,Ready,Dual keys: API key + Application key,https://docs.datadoghq.com/api/latest/authentication/,5,Pass2: authentication page live
70,Sentry,"Developer, Infra and Data platforms",Error monitoring,Bearer token,Self-serve,Full REST,~100 endpoints,Yes,Ready,,https://docs.sentry.io/api,3,
71,Notion,Productivity and Project Management,Docs + databases workspace,OAuth2,Self-serve,Full REST,~60 endpoints,Yes,Ready,Internal integrations instant,https://developers.notion.com/docs/getting-started,4,Pass2: getting-started live; access-token flow
72,Airtable,Productivity and Project Management,Spreadsheet-database hybrid,Bearer token,Self-serve,Full REST,~50 endpoints,Yes,Ready,,https://airtable.com/developers/web/api/introduction,3,
73,Linear,Productivity and Project Management,Issue tracking for product teams,API key,Self-serve,GraphQL,"GraphQL schema, ~100 ops",Yes,Ready,,https://developers.linear.app,3,Personal API keys + OAuth.
74,Jira,Productivity and Project Management,Issue tracking (Atlassian),Basic,Self-serve,Full REST,~300 endpoints,Yes,Ready,Free cloud tier; API token in account settings,https://developer.atlassian.com/cloud/jira/platform/rest/v3,3,
75,Asana,Productivity and Project Management,Work management,Bearer token,Self-serve,Full REST,~150 endpoints,Yes,Ready,Free tier works,https://developers.asana.com/reference,3,
76,Monday.com,Productivity and Project Management,Work OS,Bearer token,Self-serve,GraphQL,GraphQL API v2,Yes,Ready,14-day trial; API v2 on all tiers,https://developer.monday.com/api-reference,3,
77,ClickUp,Productivity and Project Management,All-in-one productivity app,Bearer token,Self-serve,Full REST,~120 endpoints,Yes,Ready,,https://clickup.com/api/developer-portal,3,clickup.com/api returns 403 to bots; docs verified live in browser | Pass2
78,Coda,Productivity and Project Management,Docs with app-like building blocks,Bearer token,Self-serve,Full REST,~40 endpoints,Yes,Ready,,https://coda.io/developers/apis/v1,3,
79,Smartsheet,Productivity and Project Management,Enterprise work management,Bearer token,Self-serve,Full REST,~100 endpoints,Yes,Ready,Trial available; API on all plans,https://smartsheet.redoc.ly,3,
80,Harvest,Productivity and Project Management,Time tracking + invoicing,Bearer token,Self-serve,Full REST,~40 endpoints,Yes,Ready,Free single-user tier; developer token program,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,5,Pass2: auth page live; OAuth2 + personal tokens
81,Stripe,Finance and Fintech,Payments platform,Bearer token,Self-serve,Full REST,~400 endpoints,Yes,Ready,,https://docs.stripe.com/keys,5,Test mode instant; keys in dashboard. | Pass2: keys page live (200) and mentions API keys
82,Plaid,Finance and Fintech,Bank-account connectivity API,Bearer token,Gated,Full REST,~200 endpoints,Yes,Ready with caveats,Sandbox instant; production needs company verification,https://plaid.com/docs/quickstart/,4,Pass2: quickstart confirms API keys + basic-style auth; sandbox self-serve
83,Binance,Finance and Fintech,Crypto exchange,HMAC,Self-serve,Full REST,~120 endpoints,No,Ready,API keys instant; HMAC-SHA256 signing,https://developers.binance.com/docs/binance-spot-api-docs/rest-api,3,
84,Paygent Connect,Finance and Fintech,Payment ops (NMI-powered gateway),API key,Gated,Narrow REST,~30 endpoints,No,Blocked,NMI partner onboarding; no public self-serve signup,https://paygent.io,3,Paygent appears as a Japanese PSP/IXOPAY adapter; no public developer portal for 'Paygent Connect' | Pass2
85,iPayX,Finance and Fintech,Payment infrastructure startup,Bearer token,Gated,None documented,Unknown,No,Blocked,No public API docs; contact-sales only,https://ipayx.ai,4,No developer footprint findable; treating as contact-sales only | Pass2
86,QuickBooks,Finance and Fintech,SMB accounting (Intuit),OAuth2,Self-serve,Full REST,~100 endpoints,No,Ready,Sandbox company instant; production needs Intuit app review,https://developer.intuit.com/app/developer/qbo/docs/api,3,
87,Xero,Finance and Fintech,Small-business accounting,OAuth2,Self-serve,Full REST,~100 endpoints,No,Ready,Partner-app approval for production,https://developer.xero.com/documentation,3,
88,Brex,Finance and Fintech,Spend management / corporate cards,OAuth2,Gated,GraphQL,GraphQL API,No,Ready with caveats,Customer token needs Brex dashboard admin,https://developer.brex.com,2,
89,Ramp,Finance and Fintech,Corporate cards + spend management,OAuth2,Gated,Full REST,~80 endpoints,No,Ready with caveats,Account admin must create client; business verification,https://docs.ramp.com,2,
90,PitchBook,Finance and Fintech,PE/VC market-intelligence database,None,Gated,None documented,Unknown,No,Blocked,Subscription research product; API is partner-gated,https://pitchbook.com,3,Pass2: searches surface only marketing pages; API is partner-gated
91,NotebookLM,"AI, Research and Media-native",Notebook + source-grounded AI (Google),OAuth2,Gated,None documented,Unknown,No,Blocked,No public API; enterprise-only via Gemini/Vertex waitlist,https://cloud.google.com/notebooklm-enterprise,4,Pass2: NotebookLM Enterprise page live; no public developer API - MCP server is the agent path
92,Otter AI,"AI, Research and Media-native",AI meeting notes/transcripts,OAuth2,Gated,Narrow REST,MCP server + minimal REST,Yes,Ready with caveats,Toolkit building limited to Otter's MCP server; custom API integrations enterprise-only,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,4,MCP claim needs live confirmation. | Pass2: official Otter MCP Server help article (ChatGPT/Cursor/Claude setup guides) | Pass2: real article URL found via search | Pass2: agent access via Otter's own MCP; no public REST API for custom toolkits
93,Fathom,"AI, Research and Media-native",AI meeting assistant,API key,Self-serve,Narrow REST,~30 endpoints,Yes,Ready,,https://developers.fathom.ai/api-overview,5,Confirm API docs URL in live pass. | Pass2 CORRECTION: public API uses API keys (generate and first call in minutes) - Pass1 OAuth2/Gated was wrong | Pass2: 'Anyone can use our API' per help center | Pass2: official MCP docs page on developers.fathom.ai | Pass2: no blocker - clear toolkit candidate
94,Consensus,"AI, Research and Media-native",AI research/paper search engine,API key,Self-serve,Narrow REST,~10 endpoints,Yes,Ready,,https://docs.consensus.app/api-get-started,5,Pass2: single REST /v1/search endpoint; 400M+ papers; free tier then paid plans | Pass2: stale blocker removed; free tier then paid API plans
95,Reducto,"AI, Research and Media-native",Document parsing API for LLMs,Bearer token,Self-serve,Full REST,~40 endpoints,Yes,Ready,,https://docs.reducto.ai,2,
96,Devin,"AI, Research and Media-native",AI software engineer (Cognition),Bearer token,Self-serve (paid),Narrow REST,~20 endpoints,Yes,Ready,ACU-based pricing; API key from dashboard,https://docs.devin.ai,2,
97,Higgsfield,"AI, Research and Media-native",AI video/content generation suite,API key,Self-serve (paid),Narrow REST,CLI + ~15 endpoints,No,Ready with caveats,CLI-first product; API documented but sparse; credits-based,https://docs.higgsfield.ai,4,Confirm CLI/API split in live pass. | Pass2: developer docs live with API-key auth
98,Mermaid CLI,"AI, Research and Media-native",Render Mermaid diagrams to SVG/PNG,None,Open,None documented,CLI only,No,Ready with caveats,"Local CLI, not an API; wrap via subprocess",https://github.com/mermaid-js/mermaid-cli,3,
99,YouTube Transcript,"AI, Research and Media-native",Fetch YouTube transcripts,API key,Self-serve,Narrow REST,~5 endpoints,Yes,Ready,,https://transcriptapi.com/docs/api/,4,Third-party API; verify docs live in live pass. | Pass2: docs live; agent-friendly signup (key on first use; 100 free credits)
100,Grain,"AI, Research and Media-native",Meeting recording + notes,Bearer token,Self-serve (paid),Narrow REST,~40 endpoints,No,Ready with caveats,Workspace API requires Business plan; recording-scoped tokens,https://developers.grain.com/,3,Check current API access policy in live pass. | Pass2: public developer docs; workspace API on Business plan
