id,name,category,website,does,auth,auth_detail,gate,gate_detail,surface,breadth,mcp,verdict,blocker,evidence,confidence,notes
11,Zendesk,Support & Helpdesk,zendesk.com,Provides customer service and support ticketing solutions.,OAuth2,"OAuth2 for web applications, API key for server-side integrations, Basic auth for some legacy or specific admin APIs.",Open self-serve,Developers can register applications within their Zendesk admin panel to obtain OAuth2 client IDs/secrets or generate API tokens.,Documented REST,"Very broad, covers tickets, users, organizations, custom fields, channels, apps, etc. Extensive.",Yes (official),Ready,,developer.zendesk.com/api-reference/,5,
12,Intercom,Support & Helpdesk,intercom.com,"Offers a customer messaging platform for sales, marketing, and support.",OAuth2,"OAuth2 for public apps, Access Token (API key) for private integrations.",Open self-serve,Developers can create apps in their Intercom workspace to get client IDs/secrets or generate API access tokens.,Documented REST,"Broad, covers users, leads, conversations, articles, custom data, webhooks.",Yes (official),Ready,,developers.intercom.com/intercom-api-reference/,5,
13,Freshdesk,Support & Helpdesk,freshdesk.com,Provides cloud-based customer support software with ticketing and automation.,API key,"API Key is the primary method, often used with Basic Auth (username is API key, password is 'X' or similar, or API key in header).",Open self-serve,API keys can be generated by administrators within their Freshdesk account settings.,Documented REST,"Broad, covers tickets, contacts, agents, companies, forums, solutions, time entries.",Yes (official),Ready,,developers.freshdesk.com/api/,5,
14,Front,Support & Helpdesk,front.com,"Unifies customer communication channels (email, chat, social) into a single inbox for teams.",API key,"API tokens for private integrations, OAuth2 for public apps.",Open self-serve,API tokens can be generated by administrators in Front settings. OAuth2 apps can be registered.,Documented REST,"Broad, covers conversations, messages, contacts, inboxes, teams, rules.",Yes (official),Ready,,dev.frontapp.com/reference/,5,
15,Pylon,Support & Helpdesk,usepylon.com,Provides a modern customer support platform focused on efficiency and automation.,API key,API Key in header.,Open self-serve,API keys are generated within the Pylon admin settings.,Documented REST,"Moderate, covers core support entities like conversations, users, messages.",No,Ready,,docs.usepylon.com/api,4,
16,LiveAgent,Support & Helpdesk,liveagent.com,"Offers an all-in-one customer support solution including live chat, ticketing, and call center.",API key,"API key for direct access, OAuth2 for third-party applications.",Open self-serve,API keys can be generated in the LiveAgent admin panel. OAuth2 applications can be registered.,Documented REST,"Broad, covers tickets, chats, calls, agents, customers, departments.",Yes (official),Ready,,support.liveagent.com/docs/api/,4,
17,Plain,Support & Helpdesk,plain.com,"A modern customer support platform designed for developers, focusing on API-first and customizability.",API key,API Key (Bearer token in header).,Open self-serve,API keys are generated within the Plain workspace settings.,Documented REST,"Moderate, covers customers, conversations, threads, messages, custom objects.",No,Ready,,docs.plain.com/api,4,
18,Help Scout,Support & Helpdesk,helpscout.com,"Provides a simple, customer-centric help desk with email, live chat, and knowledge base.",OAuth2,"OAuth2 for web applications, API key for server-side integrations.",Open self-serve,API keys can be generated by administrators. OAuth2 applications can be registered.,Documented REST,"Broad, covers conversations, customers, mailboxes, users, custom fields.",Yes (official),Ready,,developer.helpscout.com/api/,5,
19,Gorgias,Support & Helpdesk,gorgias.com,An e-commerce help desk that centralizes customer support from various channels.,API key,"API key for direct integrations, OAuth2 for public apps.",Open self-serve,API keys can be generated in Gorgias settings. OAuth2 apps can be registered.,Documented REST,"Broad, covers tickets, customers, messages, integrations, macros. Strong focus on e-commerce data.",Yes (official),Ready,,developers.gorgias.com/reference,5,
20,Gladly,Support & Helpdesk,gladly.com,"A customer service platform focused on a ""customer-centric"" view across all channels.",API key,API Key (Bearer token in header).,Admin approval,"Access to the API is typically granted after discussion with Gladly sales or support, often for enterprise clients or specific integration partners. Not typically self-serve for general developers.",Documented REST,"Moderate to Broad, covers customers, conversations, messages, tasks.",No,Ready with caveats,"API access is not self-serve and requires engagement with Gladly, potentially limiting general developer access.",docs.gladly.com/api/,4,
21,Slack,Communications & Messaging,slack.com,A team collaboration and messaging platform.,OAuth2,"OAuth2 for apps/bots, Bot Tokens, User Tokens.",Open self-serve,"Developers register apps in Slack, obtain client ID/secret, and users authorize.",Documented REST,"Very broad, covers messages, channels, users, files, events, admin.",Yes (official),Ready,,api.slack.com,5,
22,Twilio,Communications & Messaging,twilio.com,"A cloud communications platform for voice, SMS, video, and authentication.",Basic,HTTP Basic Auth using Account SID as username and Auth Token as password.,Paid self-serve,"Sign up for an account, get Account SID and Auth Token from dashboard.",Documented REST,"Extremely broad, covers SMS, Voice, Video, Verify, Flex, IoT, etc.",Yes (official),Ready,,twilio.com/docs/api,5,
23,Zoho Cliq,Communications & Messaging,zoho.com/cliq,A team communication and collaboration tool from Zoho.,OAuth2,"OAuth2 for app integrations, API key for simpler integrations.",Open self-serve,Developers can register applications within the Zoho developer console.,Documented REST,"Covers messages, channels, users, bots, commands.",Yes (official),Ready,,zoho.com/cliq/api/,4,
24,Lark (Larksuite),Communications & Messaging,open.larksuite.com,"An all-in-one collaboration suite including chat, calendar, docs, and video conferencing.",OAuth2,OAuth2 for user authorization and app access.,Open self-serve,Developers register apps on the Lark Open Platform.,Documented REST,"Broad, covers chat, contacts, calendar, docs, approval, attendance.",Yes (official),Ready,,open.larksuite.com/document/home,4,
25,Pumble,Communications & Messaging,pumble.com,"A free team chat app, often positioned as a Slack alternative.",API key,"Webhook URLs for incoming messages, likely API tokens for bots.",Open self-serve,Users can create webhooks or bot integrations from within the app settings.,SDK/API limited,"Limited to sending messages, basic bot interactions.",No,Ready with caveats,"API surface is likely limited to basic messaging and bot interactions, not a full platform API.",pumble.com/help/integrations/,3,
26,Discord,Communications & Messaging,discord.com,"A VoIP, instant messaging, and digital distribution platform designed for creating communities.",OAuth2,"OAuth2 for user authorization, Bot Tokens for bot interactions.",Open self-serve,Developers create applications in the Discord Developer Portal.,Documented REST,"Very broad, covers guilds, channels, messages, users, voice, webhooks, interactions.",Yes (official),Ready,,discord.com/developers/docs/intro,5,
27,Telegram,Communications & Messaging,core.telegram.org,A cloud-based mobile and desktop messaging app with a focus on security and speed.,Token,Bot API uses a unique token for each bot. Telegram Login Widget uses OAuth2.,Open self-serve,"Create bots via BotFather, get API token.",Documented REST,"Broad for bots (messages, users, groups, files), core API is more complex.",Yes (official),Ready,,core.telegram.org/bots/api,5,
28,WhatsApp Business,Communications & Messaging,developers.facebook.com/docs/whatsapp,A messaging platform for businesses to communicate with customers.,Token,"Access Tokens for the Cloud API, or API Keys for On-Premises API.",Admin approval,Requires business verification and often approval from Meta or a Business Solution Provider (BSP).,Documented REST,"Covers sending/receiving messages, managing templates, user profiles.",Yes (official),Ready with caveats,"Gating for full API access is complex and requires approval/partnership, not simple self-serve.",developers.facebook.com/docs/whatsapp,5,
29,Aircall,Communications & Messaging,aircall.io,A cloud-based phone system for sales and support teams.,OAuth2,"OAuth2 for applications, API Token for direct API access.",Open self-serve,Developers can register apps and obtain credentials.,Documented REST,"Broad, covers calls, users, numbers, contacts, webhooks.",Yes (official),Ready,,developer.aircall.io/api-documentation/,4,
30,Vonage,Communications & Messaging,developer.vonage.com,"A cloud communications platform offering APIs for voice, video, SMS, and verification.",Basic,HTTP Basic Auth with API Key and API Secret. JWT for specific client-side authentication.,Paid self-serve,"Sign up for an account, get API Key and Secret from dashboard.",Documented REST,"Extremely broad, covers SMS, Voice, Video, Verify, Number Insight, Messages API.",Yes (official),Ready,,developer.vonage.com/api-overview,5,
31,Google Ads,Marketing & Ads,developers.google.com/google-ads,Manages advertising campaigns across Google's network.,OAuth2,"OAuth2 for user accounts, API Key for some specific services.",Open self-serve,Developers create projects and enable APIs in Google Cloud Console.,Documented REST,"Very broad, covers campaign management, reporting, bidding, assets, etc.",Yes (official),Ready,,developers.google.com/google-ads,5,
32,Meta Ads,Marketing & Ads,developers.facebook.com/docs/marketing-apis,"Manages advertising campaigns on Facebook, Instagram, and Audience Network.",OAuth2,OAuth2 via Facebook Login for Business.,Open self-serve,Developers create apps on Meta for Developers.,Documented REST,"Very broad, covers campaign management, ad sets, ads, creatives, targeting, insights, etc.",Yes (official),Ready,,developers.facebook.com/docs/marketing-apis,5,
33,LinkedIn Ads,Marketing & Ads,learn.microsoft.com/linkedin/marketing,Manages advertising campaigns on LinkedIn.,OAuth2,OAuth2 via LinkedIn Login.,Open self-serve,Developers create apps on LinkedIn Developer Platform.,Documented REST,"Broad, covers campaign management, creatives, targeting, reporting, etc.",Yes (official),Ready,,learn.microsoft.com/linkedin/marketing,5,
34,GoHighLevel,Marketing & Ads,highlevel.stoplight.io,All-in-one marketing and sales platform for agencies and small businesses.,API key,API key obtained from within the platform settings.,Paid self-serve,"Requires a GoHighLevel account, which is paid.",Documented REST,"Broad, covers contacts, campaigns, opportunities, calendars, custom fields, etc.",No,Ready,,highlevel.stoplight.io,4,
35,Mailchimp,Marketing & Ads,mailchimp.com/developer,Email marketing and automation platform.,API key,API key (or OAuth2 for some integrations).,Open self-serve,API keys are available in account settings.,Documented REST,"Very broad, covers audiences, campaigns, automations, reports, content, etc.",Yes (official),Ready,,mailchimp.com/developer,5,
36,Klaviyo,Marketing & Ads,developers.klaviyo.com,Marketing automation and email platform for e-commerce.,API key,Private and public API keys.,Paid self-serve,Requires a Klaviyo account; full API access usually needs a paid plan.,Documented REST,"Broad, covers profiles, events, campaigns, flows, lists, segments, etc.",No,Ready,,developers.klaviyo.com,4,
37,systeme.io,Marketing & Ads,systeme.io,"All-in-one marketing platform for online businesses (funnels, email, courses).",API key,API key.,Paid self-serve,Requires a systeme.io account; API access might be limited on free tier.,Documented REST,"Moderate, covers contacts, funnels, products, sales.",No,Ready,,help.systeme.io/article/207-api-documentation,4,
38,Pinterest,Marketing & Ads,developers.pinterest.com,Visual discovery engine and social media platform.,OAuth2,"OAuth2 for user data, API key for some partner integrations.",Open self-serve,Developers create apps on Pinterest Developer Platform.,Documented REST,"Broad, covers pins, boards, users, ads, analytics.",Yes (official),Ready,,developers.pinterest.com,5,
39,Threads (Meta),Marketing & Ads,developers.facebook.com/docs/threads,Text-based social media platform from Meta.,OAuth2,"OAuth2 via Facebook Login for Business, similar to Instagram/Facebook Graph API.",Open self-serve,Developers create apps on Meta for Developers.,Documented REST,"Moderate, covers publishing, media, insights, replies.",Yes (official),Ready,,developers.facebook.com/docs/threads,5,
40,SendGrid,Marketing & Ads,sendgrid.com,Email delivery service for transactional and marketing emails.,API key,API key.,Open self-serve,API keys are available in account settings.,Documented REST,"Very broad, covers sending email, managing contacts, templates, statistics, webhooks.",Yes (official),Ready,,docs.sendgrid.com,5,
41,Shopify,Ecommerce,shopify.dev,A comprehensive e-commerce platform for creating online stores.,OAuth2,"OAuth2 for public apps, custom app API keys for private apps.",Open self-serve,"Developers can create partner accounts and apps, or private apps within their own store.",Documented REST + GraphQL,"Very broad, covering store management, products, orders, customers, themes, webhooks, etc.",Yes (official),Ready,,shopify.dev,5,
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,An open-source e-commerce plugin for WordPress websites.,OAuth2,"REST API uses OAuth1.0a for applications, or consumer key/secret for direct access.",Open self-serve,Users generate API keys from their WordPress admin panel.,Documented REST,"Broad, covering products, orders, customers, coupons, webhooks.",Yes (community),Ready,,woocommerce.com/document/woocommerce-rest-api,5,
43,BigCommerce,Ecommerce,developer.bigcommerce.com,An e-commerce platform for building and managing online stores.,OAuth2,"OAuth2 for app integrations, API keys (Client ID/Access Token) for store API accounts.",Open self-serve,"Developers can create partner accounts and apps, or generate API credentials within their store admin.",Documented REST + GraphQL,"Very broad, covering catalog, orders, customers, marketing, store settings, webhooks.",Yes (official),Ready,,developer.bigcommerce.com,5,
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,An enterprise-grade e-commerce platform for large businesses.,OAuth2,OAuth2 client credentials flow for API access.,Admin approval,"Typically requires a Salesforce Commerce Cloud instance, which is an enterprise product. API access is managed within the platform.",Documented REST,"Broad, covering products, orders, customers, pricing, content, search.",Yes (official),Ready with caveats,"Enterprise-level product, access to API credentials might be gated by subscription or admin.",developer.salesforce.com/docs/commerce,4,
45,Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce,An open-source and enterprise e-commerce platform.,OAuth2,"OAuth1.0a for integrations, or token-based authentication for admin users (username/password to get a token).",Open self-serve,API keys/tokens are generated within the Magento admin panel.,Documented REST,"Very broad, covering catalog, orders, customers, marketing, content, store configuration.",Yes (official),Ready,,developer.adobe.com/commerce,5,
46,Squarespace,Ecommerce,developers.squarespace.com,A website builder with integrated e-commerce capabilities.,API key,"API keys for some APIs (e.g., Orders API), OAuth2 for others (e.g., Developer Platform).",Open self-serve,API keys can be generated by site owners in their Squarespace account settings.,Documented REST,"Moderate, covers orders, products, inventory, customers, but not as extensive as dedicated e-commerce platforms.",No,Ready,,developers.squarespace.com,4,
47,Ecwid,Ecommerce,api-docs.ecwid.com,An e-commerce solution that allows users to add a store to any website.,Token,Store ID and Secret Token (API key).,Open self-serve,API keys are generated within the Ecwid control panel.,Documented REST,"Moderate, covers products, orders, customers, categories.",Yes (official),Ready,,api-docs.ecwid.com,4,
48,Gumroad,Ecommerce,gumroad.com/api,A platform for creators to sell digital products and memberships directly to their audience.,Token,Access Token (API key) for user-specific data.,Open self-serve,API keys are generated in the Gumroad account settings.,Documented REST,"Limited, primarily focused on sales, products, and licenses.",No,Ready,,gumroad.com/api,3,
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,Provides APIs for Amazon sellers to programmatically manage their selling operations on Amazon.,OAuth2,"OAuth2 for applications, combined with AWS IAM roles and Signature V4 for request signing.",Admin approval,"Requires registration as a Selling Partner developer, and often requires specific permissions from the seller whose data is being accessed.",Documented REST,"Very broad, covering inventory, orders, shipments, listings, reports, finances, fulfillment.",Yes (official),Ready with caveats,"Complex authentication setup involving AWS IAM and OAuth, and strict developer registration process.",developer-docs.amazon.com/sp-api,5,
50,fanbasis,Ecommerce,fanbasis.com,Likely a platform for creators/fans to sell merchandise or digital content.,Unclear,,Unclear,,No public API,,No,Blocked,No public API documentation found.,fanbasis.com,1,
51,DataForSEO,"Data, SEO & Scraping",docs.dataforseo.com,Provides a comprehensive suite of SEO data APIs for various search engines and data types.,API key,API key provided after account creation.,Paid self-serve,Requires an account and credits/subscription.,Documented REST,"Very broad, covers many SEO metrics, SERP data, keyword research, backlink data, etc.",No,Ready,,docs.dataforseo.com,5,
52,SE Ranking,"Data, SEO & Scraping",seranking.com/api,"An all-in-one SEO platform offering tools for keyword research, rank tracking, backlink analysis, and website audit.",API key,API key obtained from user dashboard.,Paid self-serve,Requires a paid subscription plan.,Documented REST,"Broad, covers rank tracking, keyword data, website audit, competitive research.",No,Ready,,seranking.com/api,4,
53,Ahrefs,"Data, SEO & Scraping",ahrefs.com/api,"A leading SEO tool known for its extensive backlink index, keyword research, and site audit capabilities.",API key,API key available in account settings for eligible plans.,Paid self-serve,Requires a specific paid plan level to access the API.,Documented REST,"Broad, focuses on backlink data, keyword data, site explorer, content explorer.",No,Ready,,ahrefs.com/api,5,
54,MrScraper,"Data, SEO & Scraping",docs.mrscraper.com,A web scraping API designed to extract data from websites.,API key,API key obtained after signing up for an account.,Open self-serve,Typically offers a free tier or easy signup for API access.,Documented REST,"Moderate, focused on general web scraping, proxy management, CAPTCHA solving.",No,Ready,,docs.mrscraper.com,3,
55,Apify,"Data, SEO & Scraping",docs.apify.com,"A platform for building, deploying, and running web scrapers and automation tasks (Actors).",API key,API key available in the Apify Console after registration.,Open self-serve,Offers a free tier for developers to get started.,Documented REST,"Very broad, covers actor management, dataset storage, proxy management, scheduling, web scraping.",No,Ready,,docs.apify.com,5,
56,Firecrawl,"Data, SEO & Scraping",firecrawl.dev,"A tool for crawling websites and converting their content into structured data (e.g., Markdown, JSON).",API key,API key provided upon account creation.,Open self-serve,Likely offers a free tier or easy signup process.,Documented REST,"Moderate, focused on website crawling and content extraction/conversion.",No,Ready,,firecrawl.dev,3,
57,Bright Data,"Data, SEO & Scraping",brightdata.com,"A leading web data platform providing proxy networks, data collection tools, and web unlockers.",API key,"API key for management APIs, username/password for proxy access.",Contact sales / partner,"Often requires consultation for enterprise use, though self-serve options exist for smaller scale.",Documented REST,"Very broad, covers proxy management, data collection, SERP API, web unlocker.",No,Ready,,brightdata.com,5,
58,Sherlock,"Data, SEO & Scraping",github.com/sherlock-project/sherlock,A command-line tool to find usernames across social networks.,None,"It is a local command-line tool, not an API service.",N/A (no auth),No authentication needed as it's a local tool.,No public API,N/A,No,Blocked,Not an API service; it's a local command-line tool.,github.com/sherlock-project/sherlock,5,
59,Waterfall.io,"Data, SEO & Scraping",waterfall.io,A data scraping or data pipeline service.,API key,Likely an API key for authentication.,Open self-serve,"Expected to offer self-serve signup, potentially with paid tiers.",Documented REST,"Moderate, focused on data extraction/delivery.",No,Ready with caveats,Limited specific knowledge about its API details.,waterfall.io,2,
60,Clay,"Data, SEO & Scraping",clay.com,"A sales intelligence and outreach platform that combines data enrichment, automation, and AI.",API key,API key available in the platform's settings.,Paid self-serve,Requires a paid subscription to access API features.,Documented REST,"Broad, covers data enrichment, lead generation, workflow automation, integrations.",No,Ready,,clay.com,4,
61,GitHub,Developer & Infra,docs.github.com/rest,"A platform for version control, collaboration, and software development.",OAuth2,"OAuth2 for user-level access, Personal Access Tokens (API key) for programmatic access.",Open self-serve,Developers can register OAuth apps and generate Personal Access Tokens.,REST + GraphQL,"Very broad, covering repositories, users, organizations, issues, pull requests, actions, webhooks, and more.",Yes (official),Ready,,docs.github.com/rest,5,
62,Vercel,Developer & Infra,vercel.com/docs/rest-api,"A platform for frontend developers, providing hosting, serverless functions, and CI/CD.",API key,"Personal Access Tokens (API key) for programmatic access, OAuth2 for integrations.",Open self-serve,Developers can generate Personal Access Tokens from their account settings.,Documented REST,"Broad, covering projects, deployments, domains, teams, users, and serverless functions.",Yes (official),Ready,,vercel.com/docs/rest-api,4,
63,Netlify,Developer & Infra,docs.netlify.com/api,"A web developer platform for building, deploying, and scaling modern web projects.",OAuth2,"OAuth2 for user-level access, Personal Access Tokens (API key) for programmatic access.",Open self-serve,Developers can register OAuth apps and generate Personal Access Tokens.,Documented REST,"Broad, covering sites, deploys, forms, functions, users, teams, and build settings.",Yes (official),Ready,,docs.netlify.com/api,4,
64,Cloudflare,Developer & Infra,developers.cloudflare.com/api,"A global network that provides security, performance, and reliability services for websites and applications.",API key,Global API Key and API Tokens.,Open self-serve,Users can generate API keys and tokens from their Cloudflare dashboard.,Documented REST,"Very broad, covering DNS, WAF, CDN, Workers, R2, Zero Trust, and many other services.",Yes (official),Ready,,developers.cloudflare.com/api,5,
65,Supabase,Developer & Infra,supabase.com/docs,"An open-source Firebase alternative, providing a PostgreSQL database, authentication, real-time subscriptions, and storage.",API key,Project API keys and JWTs for user authentication.,Open self-serve,API keys are generated automatically with project creation and can be managed in the dashboard.,Documented REST,"Broad, covering database tables, rows, authentication users, and storage buckets/files.",No,Ready,,supabase.com/docs,4,
66,Neo4j,Developer & Infra,neo4j.com/docs,A leading graph database platform for connected data.,Basic,"Basic authentication for HTTP API, Token (JWT) for AuraDB, and client-specific authentication for Bolt protocol.",Open self-serve,Credentials for cloud offerings (AuraDB) are self-serve; self-hosted requires admin setup.,SDK/API limited,"Covers database operations, graph queries (Cypher), and schema management.",No,Ready with caveats,"Primary interaction is often through language-specific drivers using the Bolt protocol, which might require more specialized agent toolkit integration than a pure REST API.",neo4j.com/docs,3,
67,Snowflake,Developer & Infra,docs.snowflake.com,A cloud data warehousing platform.,Token,"Key Pair Authentication, OAuth for external tools, and username/password for JDBC/ODBC drivers.",Admin approval,Account setup and user management typically require administrative approval or setup.,SDK/API limited,"Broad, covering database operations, warehouse management, user/role management, and data loading/unloading.",No,Ready with caveats,"The primary interaction is via SQL or specialized client libraries/connectors, rather than a broad, general-purpose REST API, which might require a more complex agent toolkit.",docs.snowflake.com,3,
68,MongoDB Atlas,Developer & Infra,mongodb.com/docs/atlas/api,A global cloud database service for MongoDB.,API key,Programmatic API Keys for the Atlas Admin API.,Open self-serve,Users can create projects and generate API keys from the Atlas dashboard.,Documented REST,"Broad, covering clusters, projects, organizations, users, backups, and network access.",No,Ready,,mongodb.com/docs/atlas/api,4,
69,Datadog,Developer & Infra,docs.datadoghq.com/api,A monitoring and analytics platform for cloud applications and infrastructure.,API key,Requires both an API Key and an Application Key.,Open self-serve,API and Application keys can be generated from the Datadog account settings.,Documented REST,"Very broad, covering metrics, logs, traces, monitors, dashboards, users, events, and incidents.",Yes (official),Ready,,docs.datadoghq.com/api,5,
70,Sentry,Developer & Infra,docs.sentry.io/api,An error monitoring and performance monitoring platform for developers.,API key,"Auth Tokens (API key) for programmatic access, OAuth2 for integrations.",Open self-serve,Developers can create Auth Tokens and register OAuth applications from their Sentry account.,Documented REST,"Broad, covering projects, organizations, issues, events, releases, and users.",Yes (official),Ready,,docs.sentry.io/api,4,
71,Notion,Productivity & PM,developers.notion.com,"A connected workspace for notes, docs, project management, and wikis.",OAuth2,Bearer Token (OAuth2 or Integration Token),Open self-serve,Developers can create integrations and obtain API keys (internal integration tokens) or set up OAuth2 applications from their Notion workspace settings.,Documented REST,"Comprehensive for pages, databases, blocks, and users.",Yes (official),Ready,,developers.notion.com,5,
72,Airtable,Productivity & PM,airtable.com/developers,A low-code platform for building relational databases and apps.,API key,Bearer Token (Personal Access Token or OAuth2),Open self-serve,Personal Access Tokens can be generated in user account settings; OAuth2 apps can be registered.,Documented REST,"Comprehensive for bases, tables, records, and views.",Yes (official),Ready,,airtable.com/developers,5,
73,Linear,Productivity & PM,developers.linear.app,A fast issue tracking and project management tool for modern teams.,OAuth2,Bearer Token (Personal API Key or OAuth2),Open self-serve,Personal API keys can be generated in user settings; OAuth2 applications can be registered.,Documented GraphQL,"Comprehensive for issues, projects, teams, and users.",Yes (official),Ready,,developers.linear.app,5,
74,Jira,Productivity & PM,developer.atlassian.com,A leading issue tracking and project management software for software development teams.,OAuth2,"OAuth2 (3-legged or 2-legged), API Token (for Basic Auth), or Basic Auth with username/password.",Open self-serve,API tokens can be generated in Atlassian account settings; OAuth2 apps can be registered.,Documented REST,"Extremely comprehensive, covering all aspects of issues, projects, workflows, users, and administration.",Yes (official),Ready,,developer.atlassian.com,5,
75,Asana,Productivity & PM,developers.asana.com,"A work management platform designed to help teams organize, track, and manage their work.",OAuth2,Bearer Token (Personal Access Token or OAuth2),Open self-serve,Personal Access Tokens can be generated in developer console; OAuth2 apps can be registered.,Documented REST,"Comprehensive for tasks, projects, workspaces, users, and portfolios.",Yes (official),Ready,,developers.asana.com,5,
76,Monday.com,Productivity & PM,developer.monday.com,"A work OS that helps organizations manage projects, tasks, and workflows.",API key,Bearer Token (Personal API Token or OAuth2),Open self-serve,API tokens can be generated in user profile settings; OAuth2 apps can be registered.,Documented GraphQL,"Comprehensive for boards, items, columns, and users.",Yes (official),Ready,,developer.monday.com,5,
77,ClickUp,Productivity & PM,clickup.com/api,"An all-in-one productivity platform for tasks, docs, goals, and team collaboration.",OAuth2,Bearer Token (Personal API Token or OAuth2),Open self-serve,API tokens can be generated in user profile settings; OAuth2 apps can be registered.,Documented REST,"Comprehensive for tasks, lists, folders, spaces, and users.",Yes (official),Ready,,clickup.com/api,5,
78,Coda,Productivity & PM,coda.io/developers,"A new type of doc that blends words, data, and apps into a single flexible canvas.",API key,Bearer Token (API Token or OAuth2),Open self-serve,API tokens can be generated in user account settings; OAuth2 apps can be registered.,Documented REST,"Comprehensive for docs, pages, tables, rows, and columns.",Yes (official),Ready,,coda.io/developers,5,
79,Smartsheet,Productivity & PM,smartsheet.com/developers,"A work management platform for planning, tracking, automating, and reporting on work.",OAuth2,Bearer Token (Access Token or OAuth2),Open self-serve,Access tokens can be generated in developer tools; OAuth2 apps can be registered.,Documented REST,"Comprehensive for sheets, rows, columns, workspaces, and users.",Yes (official),Ready,,smartsheet.com/developers,5,
80,Harvest,Productivity & PM,help.getharvest.com/api-v2,A time tracking and invoicing software for businesses.,OAuth2,Bearer Token (Personal Access Token or OAuth2),Open self-serve,Personal Access Tokens can be generated in user profile settings; OAuth2 apps can be registered.,Documented REST,"Comprehensive for time entries, projects, tasks, clients, and invoices.",Yes (official),Ready,,help.getharvest.com/api-v2,5,
